,0
1244,에스마이드캅셀
1245,비오리진
1246,비오리진
1247,메브론
1248,메브론
1249,라이나
1250,포리감마론
1251,코알파캅셀
1252,토나
1253,피란
1254,피란
1255,트리펜캅셀
1256,토나
1257,대웅파스
1258,펜본
1259,메가판캅셀
1260,콘택비
1261,콘택씨
1262,판
1263,순천당히포캐스탄
1264,바이넥스히포캐스탄밀리그람캅셀
1265,알티마
1266,삼일바셀린꺼즈
1267,아남말레인산클로르페니라민
1268,아남헥사비타민캅셀
1269,아남크레졸수
1270,아남크레졸비누
1271,아남소독용에탄올
1272,아남탈파스타
1273,나핀
1274,나핀
1275,보안만령단
1276,메벤다시스
1277,아남묽은요오드틴크
1278,영원아스코르빈
1279,카푸롱
1280,비락스
1281,페난탈
1282,대우크레솔수
1283,대우소독용에탄올
1284,대우염산치아민
1285,대우리보플라빈
1286,덱스메판
1287,대우염산파파베린
1288,맥페란내복
1289,아미럭스
1290,키메라인
1291,세피놀트로키
1292,아이러스
1293,동산아스피린
1294,동산아세트아미노펜
1295,안미고약
1296,안미바셀린가아제
1297,알리코탄산수소나트륨
1298,양귀비헤어칼라호
1299,동성메페남캅셀
1300,동성시리마린
1301,솔코세릴제리
1302,페라콘
1303,마록스현탁
1304,멘소래담
1305,올비틸
1306,비스트카인
1307,래피탈
1308,래피탈질
1309,태창염산치아민
1310,비마렉스
1311,스텔라지
1312,베니막스
1313,크로톤
1314,타타날
1315,비스코트
1316,태극아이나
1317,태극히단토인캅셀
1318,태극피리독신정약전명염산피리독
1319,태극아즈렌
1320,카라민로숀
1321,미노론캅셀
1322,포메탈캅셀
1323,히포린MG
1324,스카르
1325,보령덱카비타민캅셀
1326,엑세드린
1327,어린이바파린
1328,에프비타
1329,마스카
1330,일양고추틴크
1331,일양피페사네이트
1332,라키사돌
1333,푸록센캅셀
1334,사르락스
1335,후로시스
1336,엑시드림
1337,드로락스
1338,나졸반
1339,메리날캅셀
1340,고려됴고약
1341,크로라민
1342,마그노칼벨라
1343,베노타
1344,크라진
1345,바로신캅셀
1346,데판코
1347,삼남안식향산벤질로숀
1348,로멕
1349,광일비타민씨
1350,통탈민캅셀
1351,광일염산피리독
1352,광일비타민에이디구
1353,쌍용핑크라민캅셀
1354,톨
1355,광일아네민이캅셀
1356,라미
1357,어린이코딩
1358,피엠톨나푸
1359,피엠톨나프
1360,경남소독용에탄올
1361,진수만령단
1362,아스판
1363,파베린
1364,익수대보
1365,메프라진
1366,파마파세타몰
1367,파마비타
1368,파마비타민이
1369,파마비타민이
1370,파마히포카스탄
1371,마로닌
1372,마로닌
1373,모파리
1374,푸리나인
1375,사루나인
1376,훼라론
1377,히드로코바
1378,리파릴
1379,레가론
1380,레가론
1381,에리콘
1382,포니비타
1383,헥사톤
1384,라코딜
1385,심칸
1386,파이막스
1387,콘트리스
1388,케노타제
1389,스마톤
1390,염산피리독
1391,아토펜
1392,메스펜탈캅셀
1393,안티코레스
1394,한국부루타제
1395,한국브롬페니라민
1396,겐타마이
1397,부로타제
1398,헤리오파
1399,한화바소토닌캅셀
1400,베나신
1401,부로마
1402,씨도란
1403,크린티그람
1404,상일크레졸비누
1405,나졸반
1406,바라닌
1407,슈타민캅셀
1408,바니론
1409,일심통기환
1410,일심만옥단
1411,일심현모환
1412,일심사향소합원
1413,안진묽은염
1414,안진암모니아수
1415,비타카론캅셀
1416,데라콤
1417,수도토코페롤
1418,페나돈캅셀
1419,히오
1420,한일양행염화암모늄
1421,한일양행팜
1422,한일양행염산피리독
1423,코넥스캅셀
1424,타가렌
1425,폰스탄캅셀
1426,삼환말레인산클로르페니라민
1427,키노펜정이부프로펜
1428,인화치과용요오드글리세린
1429,비보날
1430,센타민
1431,토나트
1432,도스판브롬화부칠스코폴라민
1433,덱스크로라민
1434,마이비타렉스
1435,미오비탈
1436,우천비사코딜
1437,벨파라
1438,훼르비드캅셀
1439,민다렉스
1440,신일염산피리독
1441,제리코
1442,헤파크린
1443,헤파크린
1444,베라
1445,아란틴
1446,대왕고려진삼즙
1447,대왕고려진삼
1448,트리비소프트캅셀
1449,라비놀밀리그람소프트캅셀
1450,라비놀밀리그람소프트캅셀
1451,빌리폰캅셀
1452,헤파타제판크레아틴
1453,강남무좀
1454,강남토코페롤갚셀
1455,아포스탄
1456,세비돈
1457,에반스캅셀
1458,한유과산화수소수
1459,한유염산피리독신
1460,한유염산피리독신
1461,트란큐
1462,광동비타민씨
1463,거북표우황포룡캅셀
1464,화신파파베린
1465,구아콜
1466,화신부롬헥
1467,화신메칠에페드린
1468,겔아루민
1469,화신리보플라빈
1470,타멕스
1471,페미탈캅셀
1472,게브라본캅셀
1473,알파리보플라빈
1474,대양크레졸수
1475,하니
1476,리비타
1477,코바페롤
1478,화이타민
1479,메로리벤
1480,삼토림캅셀
1481,삼토림
1482,맨톨캅셀
1483,대유히오스
1484,카베론
1485,대유아스코빈
1486,메나온
1487,대유치아민
1488,니아
1489,가스티나
1490,대유피리독
1491,카라
1492,가스틱
1493,판크라제
1494,영일에이씨디
1495,삼성헤파스라민
1496,키도라
1497,비론틴
1498,본초테카비타민캅셀
1499,양위원
1500,아나히스환
1501,보양원
1502,양모원
1503,판크린
1504,치해원
1505,본초묽은요오드틴크
1506,본초크레솔비누
1507,본초크레솔수
1508,본초염산피리독
1509,삼혐톨나프테이트
1510,톨낲트
1511,포페남캅셀
1512,벤다멕스
1513,피라톤
1514,태준간유캅셀
1515,항도과산화수소수
1516,항도비타민이캅셀
1517,항도소독용에탄올
1518,항도치메로살
1519,오텝
1520,오텝
1521,뮤코리진
1522,휴온스염산피리독
1523,광명아세칠살리씰
1524,서광염산피리독
1525,서광염산치아민
1526,코스탄
1527,비타믹스캅셀
1528,헤모로이캅셀
1529,베스락스
1530,폰타민캅셀
1531,고산페니토인캅셀
1532,토코베라
1533,락사딘
1534,오바론
1535,트리모
1536,로페라민캅셀
1537,세바놀
1538,메토렉스
1539,휫트점캅셀
1540,현창브롬헥
1541,츄크엠
1542,게비톤캅셀
1543,빌가민
1544,알부마이드캅셀
1545,메본탈캅셀
1546,메박스
